Varietal,Note 1,Note 2,Note 3,Note 4,Note 5
Agiorditiko,Raspberry,Blackberry,Plum,Black Pepper,Nutmeg
Aglianico,White Pepper,Black Cherry,Smoke,Game,Plum
Airen,Apple,Pineapple,Grapefruit,Bannana,Rose
Airen,grape,grape , , , 
Airen,grape,grape , , , 
Airen,lime,grape,lime ,grape , 
Airen,apple,peach, , , 
Airen,lime,grape,lime ,grape , 
Airen,grape,grape , , , 
Albarino,Lemon Zest,Grapefruit,Honeydew,Nectarine,Saline
Alicante Bouschet,Black Cherry,Blackberry,Plum,Black Pepper,Tobacco
Alicante Bouschet,grape, , , , 
Alicante Bouschet, , , , , 
Alicante Bouschet,plum,fig,leather, , 
Alicante Bouschet, , , , , 
Alicante Bouschet,blackberry,cranberry,grape,grape , 
Alicante Bouschet,blackberry, , , , 
Alicante Bouschet,grape,grape , , , 
Alicante Bouschet,grape, , , , 
Alicante Bouschet, , , , , 
Alicante Bouschet,plum, , , , 
Alicante Bouschet,grape, , , , 
Alicante Bouschet, , , , , 
Alicante Bouschet,chocolate, , , , 
Alicante Bouschet, , , , , 
Alicante Bouschet,plum, , , , 
Alicante Bouschet,plum, , , , 
Alicante Bouschet, , , , , 
Alicante Bouschet, , , , , 
Alicante Bouschet,blackberry,plum, , , 
Alicante Bouschet,plum,grape,grape , , 
Alicante Bouschet,grape,cream, , , 
Alicante Bouschet, , , , , 
Alicante Bouschet,grape, , , , 
Alicante Bouschet,blackberry, , , , 
Alicante Bouschet,plum,pomegranate, , , 
Alicante Bouschet,rhubarb, , , , 
Alicante Bouschet,plum, , , , 
Alicante Bouschet,raspberry,grape,cherry, , 
Alicante Bouschet,plum, , , , 
Alicante Bouschet, , , , , 
Alicante Bouschet,plum, , , , 
Alicante Bouschet, , , , , 
Alicante Bouschet, , , , , 
Alicante Bouschet,cranberry, , , , 
Alicante Bouschet,plum,grape,grape , , 
Alicante Bouschet,white pepper, , , , 
Alicante Bouschet,plum, , , , 
Alicante Bouschet,leather, , , , 
Alicante Bouschet,white pepper, , , , 
Alicante Bouschet,plum,grape,grape , , 
Alicante Bouschet, , , , , 
Alicante Bouschet,black cherry,grape,cherry, , 
Arinto,Lemon Zest,Grapefruit,Hazelnut,Beeswax,Chamomille
Arinto,apple,cream, , , 
Arinto, , , , , 
Arinto,apple,pineapple,cream,pine, 
Arinto,lime,pear,lime , , 
Arinto,apple,pineapple,mango,soil,pine
Arinto,grape,grape , , , 
Arinto,apple,plum, , , 
Arinto, , , , , 
Arinto, , , , , 
Arinto, , , , , 
Arinto,pear,toast, , , 
Arinto,apple,pear, , , 
Arinto,apple,pineapple,mango,soil,pine
Arinto,grape,grape , , , 
Arinto, , , , , 
Arinto,vanilla,toast, , , 
Arinto, , , , , 
Arinto,tar,toast, , , 
Arinto, , , , , 
Arinto, , , , , 
Arinto,apple,pineapple,toast,pine, 
Arinto,cream, , , , 
Arinto,toast, , , , 
Arinto,apple,pineapple,pear,pine, 
Arinto,apple, , , , 
Arinto,lemon zest, , , , 
Arinto, , , , , 
Arinto,apple,grape,caramel, , 
Arinto,grape,cream,toast, , 
Arinto,toast, , , , 
Arinto,lime,peach,apricot,vanilla,mango
Arinto,orange zest, , , , 
Arinto,apple,pineapple,pine, , 
Arinto,plum, , , , 
Arinto,lime,grape,lime , , 
Arinto,lime,lime , , , 
Arinto,pear,toast, , , 
Arinto,pear,toast, , , 
Arinto,pear,almond, , , 
Arinto,soil, , , , 
Arinto,soil, , , , 
Arinto,apple,lime, , , 
Arinto,tar,toast, , , 
Arinto,grape,grapefruit, , , 
Arinto, , , , , 
Arinto, , , , , 
Arinto,lime,peach,lime , , 
Arinto,peach, , , , 
Arinto,grape,grape , , , 
Arinto,pear, , , , 
Arinto,apple,cream,toast, , 
Arinto,lemon zest, , , , 
Arinto,apple,grape,pear,grape , 
Arinto,apple,grape,caramel, , 
Arinto,grape,cream,toast, , 
Arinto,toast, , , , 
Arinto,lime,peach,apricot,vanilla,mango
Arinto,orange zest, , , , 
Arinto,apple,pineapple,pine, , 
Arinto,plum, , , , 
Arinto,grape,cream,toast, , 
Arinto,apple,cream,toast, , 
Arinto,toast, , , , 
Arinto,grape,grapefruit, , , 
Arinto,lime,peach,apricot,vanilla,mango
Arinto,orange zest, , , , 
Arinto,apple,pear,graphite,nectarine,tar
Arinto,lime,lime ,tangerine,anise, 
Arinto,apple,grape,caramel, , 
Arinto,apple,pineapple,pine, , 
Arinto,plum, , , , 
Arinto,apple,plum, , , 
Assyrtiko,Lime,Passion Fruit,Beeswax,Flint,Saline
Assyrtiko, , , , , 
Assyrtiko,grape,grapefruit,peach, , 
Assyrtiko,grape,grapefruit,peach, , 
Assyrtiko,tar, , , , 
Assyrtiko,apple,lime,grape,grapefruit,lime 
Assyrtiko,peach,vanilla, , , 
Assyrtiko,apple,grape,grapefruit,pineapple,tar
Assyrtiko,peach, , , , 
Baga,Blackberry,Black Currant,Dried Cherry,Cocoa,Tar
Baga,red currant,grape, , , 
Baga, , , , , 
Baga,blackberry,grape,grape , , 
Baga,blackberry,grape, , , 
Baga,black currant,grape,grape , , 
Baga,cream,anise, , , 
Baga,grape, , , , 
Baga,black currant,grape,grape , , 
Baga,plum, , , , 
Baga,black currant, , , , 
Baga,apple, , , , 
Baga,grape, , , , 
Baga,leather, , , , 
Baga,apple, , , , 
Baga,grape, , , , 
Baga,black currant, , , , 
Baga,black currant, , , , 
Baga,grape, , , , 
Baga,leather, , , , 
Baga,grape, , , , 
Baga,leather, , , , 
Baga,cream,anise, , , 
Barbera,Maraschino Cherry,Licorice,Blackberry,Dried Herbs,Black Pepper
Barbera, , , , , 
Barbera,cherry,anise, , , 
Barbera,raspberry,white pepper,black cherry,plum,cherry
Barbera,black cherry,plum,cherry,anise, 
Barbera, , , , , 
Barbera,black cherry,blackberry,cherry,licorice,tobacco
Barbera,raspberry,white pepper,cherry,rose, 
Barbera,grape,black pepper,grape ,mocha, 
Barbera,black cherry,blackberry,cherry,game,menthol
Barbera,raspberry,apple,tar, , 
Barbera,black pepper,smoke,game, , 
Barbera,blackberry,baking spices,cedar, , 
Barbera,raspberry,blackberry, , , 
Barbera,black cherry,blackberry,plum,cherry,licorice
Barbera,plum,cherry,vanilla,toast, 
Barbera, , , , , 
Barbera,smoke,clove, , , 
Barbera,mushroom, , , , 
Barbera,white pepper,black cherry,blackberry,plum,cherry
Barbera,white pepper,black cherry,blackberry,plum,cherry
Barbera,black cherry,cherry,licorice,licorice ,clove
Barbera,black cherry,cherry,licorice,licorice ,clove
